FIRE_ID,LATITUDE,LONGITUDE,IGN_DATE,SIZE_HA,OBJECTID
122,49.1470,-121.3056,20170521000000,0.300,1
195,49.8141,-121.4566,20170530000000,0.009,2
368,49.3832,-121.3164,20170624000000,0.009,3
369,49.3839,-121.3156,20170624000000,0.009,4
484,49.5760,-121.8105,20170701000000,202.000,5
528,49.4041,-123.3107,20170702000000,0.009,6
555,49.3681,-121.3812,20170703000000,0.009,7
572,49.5981,-121.1439,20170703000000,0.009,8
642,49.9390,-121.4657,20170707000000,0.009,9
965,49.0095,-121.0633,20170710000000,0.009,10
1021,49.3853,-121.3162,20170711000000,0.009,11
1290,49.2789,-121.9074,20170723000000,0.009,12
1364,49.2500,-121.6018,20170724000000,0.009,13
138,50.6515,-123.4271,20170522000000,0.600,14
344,50.2822,-122.8521,20170622000000,0.009,15
390,50.1617,-122.9001,20170625000000,0.009,16
416,50.3807,-122.8877,20170626000000,2.700,17
430,50.6909,-123.4603,20170627000000,0.009,18
454,49.7197,-122.9682,20170629000000,0.009,19
527,50.1166,-122.9354,20170702000000,0.350,20
582,50.3452,-122.6896,20170604000000,0.090,21
586,50.1231,-123.3978,20170704000000,0.009,22
710,50.3173,-122.7041,20170707000000,0.009,23
174,49.9806,-124.7088,20170521000000,0.600,24
160,48.8096,-124.1489,20170525000000,0.009,25
175,48.6121,-123.5248,20170528000000,0.100,26
246,48.4320,-123.2562,20170604000000,0.009,27
342,48.5919,-123.4859,20170622000000,0.009,28
406,48.6904,-124.0486,20170626000000,1.700,29
567,48.4490,-124.0266,20170703000000,0.009,30
580,48.4108,-123.6655,20170704000000,1.200,31
606,48.5835,-123.6135,20170705000000,0.009,32
631,48.5000,-123.8167,20170706000000,0.100,33
638,48.9178,-123.9912,20170707000000,0.009,34
1033,48.3987,-123.5908,20170712000000,0.009,35
1321,48.7980,-123.3982,20170724000000,0.009,36
313,49.1028,-124.0347,20170613000000,0.009,37
336,49.1053,-124.0169,20170621000000,0.009,38
357,49.2381,-124.0831,20170623000000,0.090,39
362,49.2808,-124.8998,20170624000000,0.009,40
367,49.1978,-124.5926,20170624000000,14.900,41
452,49.1929,-124.1337,20170629000000,0.009,42
455,49.2899,-124.6189,20170629000000,0.009,43
458,49.2066,-124.0750,20170630000000,0.009,44
467,49.0986,-124.7919,20170630000000,0.220,45
539,49.1942,-124.0994,20170702000000,0.009,46
803,49.2611,-124.7484,20170708000000,0.009,47
1164,49.1369,-123.9598,20170717000000,0.200,48
1340,49.4006,-124.6670,20170725000000,0.009,49
136,49.6754,-125.0659,20170523000000,0.009,50
169,50.0531,-125.3255,20170527000000,0.300,51
259,49.8203,-125.3164,20170604000000,0.009,52
417,49.9889,-125.3724,20170626000000,1.200,53
448,49.9834,-125.5790,20170628000000,0.009,54
1106,49.6797,-124.8872,20170715000000,0.500,55
1150,49.6517,-125.1630,20170716000000,0.009,56
1255,50.1958,-125.7458,20170721000000,0.009,57
616,50.4651,-127.0636,20170705000000,8.300,58
1187,50.5421,-127.4911,20170719000000,0.300,59
1398,50.3312,-126.5880,20170727000000,0.009,60
330,52.2064,-126.9382,20170618000000,0.009,61
447,51.9416,-127.8557,20170628000000,0.009,62
778,52.3680,-125.7818,20170707000000,2500.000,63
872,52.9613,-125.8611,20170708000000,4.000,64
873,52.9949,-125.8532,20170708000000,0.200,65
58,54.0178,-126.1924,20170427000000,1.600,66
380,59.3306,-123.2059,20170625000000,3.000,264
1405,58.7977,-125.0270,20170728000000,0.007,265
581,52.2785,-120.3370,20170620000000,0.250,266
656,51.4155,-119.5192,20170707000000,0.300,267
668,51.3827,-119.3953,20170707000000,10.000,268
825,51.4364,-118.9987,20170708000000,4.700,269
827,51.4487,-118.9878,20170708000000,0.300,270
828,51.4875,-118.9841,20170708000000,2.000,271
833,51.4719,-118.9811,20170708000000,0.009,272
835,51.4508,-118.9674,20170708000000,0.009,273
843,51.5360,-118.9951,20170708000000,0.600,274
848,51.4797,-119.2862,20170708000000,4.500,275
1144,51.6256,-119.1765,20170716000000,28.000,276
9,50.7968,-121.6136,20170405000000,1.000,277
32,51.3393,-120.1552,20170418000000,0.700,278
142,50.7578,-120.9597,20170523000000,0.350,279
154,51.0994,-119.9674,20170524000000,0.009,280
222,50.7543,-120.6268,20170531000000,0.009,281
233,50.8166,-120.4555,20170602000000,0.009,282
252,50.8680,-120.2339,20170605000000,0.009,283
256,50.7704,-121.1498,20170605000000,0.009,284
322,50.7425,-120.5600,20170616000000,156.000,285
323,51.1750,-120.1786,20170616000000,0.009,286
333,50.9141,-120.2379,20170620000000,0.800,287
339,50.7728,-121.3775,20170621000000,0.330,288
353,50.4816,-120.8181,20170623000000,0.500,289
409,51.0926,-119.9867,20170626000000,0.009,290
460,50.7274,-120.5252,20170630000000,0.200,291
473,51.2742,-120.4578,20170701000000,0.100,292
532,51.5363,-120.2372,20170702000000,0.100,293
538,50.6821,-120.4681,20170703000000,3.000,294
560,50.7363,-120.3698,20170703000000,0.800,295
591,50.4594,-120.7563,20170704000000,0.000,296
609,50.7129,-120.6226,20170705000000,9.200,297
637,50.7014,-121.3001,20170706000000,70387.000,298
666,51.4353,-120.1582,20170707000000,60.000,299
675,51.3971,-120.2542,20170707000000,556.000,300
706,51.4692,-120.1566,20170707000000,3028.000,301
798,51.3870,-119.5329,20170708000000,0.009,302
